Gene,Coefficient(Slope),P-Value,null_rejected
DMAP1,-0.0924647177378048,0.0004717044057493,True
RNF220,-0.0908006472330562,0.0010769751224156,True
SNORD46,-0.2271861508191546,0.006549242646157,True
PLK3,-0.2014470402307186,0.002506998793506,True
HECTD3,-0.1131987832230277,0.0004483898253605,True
CCDC17,0.2312222245792431,0.0055688197280481,True
GPBP1L1,0.1174904509539005,0.0002570936093129,True
IPP,0.2025988691674418,0.0014669910110565,True
PIK3R3,-0.2486455516030221,0.000288272931683,True
LRRC41,-0.1539941487439335,2.6967760348485323e-05,True
MKNK1,0.2629175871485487,0.0064657108342289,True
SLC5A9,0.4607627540641615,0.0074369481799897,True
RP11-183G22.1,-0.2422882660690166,0.0037471327751098,True
RNU6-1281P,0.0154452834055803,0.0054324302893425,True
OSBPL9,0.2392341249236699,0.0001877333367239,True
KTI12,0.1755018989614516,0.004226517670036,True
CC2D1B,-0.0998161035759294,0.0001352419449221,True
FAM159A,-0.1907881461208409,0.00239940377657,True
YIPF1,0.2195974647632261,0.0069336522177681,True
TCEANC2,0.1554383212669779,0.0070663511350364,True
RP4-758J24.4,0.0890844299631499,0.0040713360272546,True
MRPL37,-0.1438636321246651,0.0013639364515627,True
SSBP3,-0.2244005393930978,0.0024689490030148,True
PARS2,0.288278220484834,0.004528714339649,True
BSND,0.6829889682368934,7.266779062888853e-05,True
RP1-158P9.1,0.0426443740370366,0.0010173126523352,True
OMA1,0.157007064878336,0.0038220953461611,True
RP4-794H19.1,0.2511881733623651,0.0063840591034259,True
USP1,0.2190328618732458,0.0009005270879664,True
FOXD3-AS1,0.3233274746235344,0.002492023361799,True
ALG6,0.1327915124770631,0.0063492388340189,True
ITGB3BP,0.2593185480773302,8.326679296512066e-05,True
EFCAB7,0.2420884696696586,0.0026187658974297,True
DLEU2L,0.2880007196143868,0.0037336277542668,True
CACHD1,0.2922776297065068,0.0007818081481354,True
LEPROT,0.1610659036606663,0.0078824667754066,True
MIER1,0.1902011476430917,0.0008123218185842,True
SERBP1,-0.0813159752662175,0.0002955073217072,True
GADD45A,0.3376187093813609,0.0012863028737101,True
RP3-333A15.1,-0.2075872489900238,0.0017350934193516,True
FPGT,0.251483934862715,0.0071455993555935,True
ACADM,0.1376426129164053,0.007430439563424,True
ST6GALNAC3,0.4760176859555468,0.0003281301246648,True
USP33,0.1775180107235336,0.0001680924266028,True
NEXN-AS1,0.343073174616486,0.0008157765826883,True
NEXN,0.2852776078374334,0.0006843595815439,True
PTGFR,0.4292627053598293,0.0024797772512955,True
